year,region,all,event,count,percentage
2012,global,7909,5x5x5 Cube,2151,27.19686433177393
2012,global,7909,Clock,707,8.939183209002403
2012,global,7909,Magic,2191,27.70261727146289
2012,global,7909,Master Magic,1190,15.046149955746618
2012,global,7909,Megaminx,1028,12.997850550006321
2012,global,7909,Pyraminx,2295,29.017574914654194
2012,global,7909,Square-1,680,8.597799974712354
2012,global,7909,2x2x2 Cube,4705,59.489189530914146
2012,global,7909,3x3x3 With Feet,359,4.539132633708434
2012,global,7909,6x6x6 Cube,833,10.532304969022633
2012,global,7909,7x7x7 Cube,717,9.065621443924643
2012,global,7909,Skewb,0,0
2012,malaysia,107,3x3x3 Cube,102,95.32710280373831
2012,malaysia,107,3x3x3 Blindfolded,25,23.364485981308412
2012,malaysia,107,3x3x3 Fewest Moves,1,0.9345794392523363
2012,malaysia,107,3x3x3 One-Handed,51,47.66355140186916
2012,malaysia,107,4x4x4 Blindfolded,8,7.476635514018691
2012,malaysia,107,4x4x4 Cube,51,47.66355140186916
2012,malaysia,107,5x5x5 Blindfolded,3,2.803738317757009
2012,malaysia,107,5x5x5 Cube,35,32.71028037383177
2012,malaysia,107,Clock,15,14.018691588785046
2012,malaysia,107,Magic,48,44.85981308411215
2012,malaysia,107,Master Magic,26,24.299065420560748
2012,malaysia,107,Megaminx,14,13.084112149532709
2012,malaysia,107,Pyraminx,32,29.906542056074763
2012,malaysia,107,Square-1,10,9.345794392523365
2012,malaysia,107,2x2x2 Cube,61,57.009345794392516
2012,malaysia,107,3x3x3 With Feet,6,5.607476635514018
2012,malaysia,107,6x6x6 Cube,1,0.9345794392523363
2012,malaysia,107,7x7x7 Cube,3,2.803738317757009
2012,malaysia,107,Skewb,0,0
2013,global,10262,3x3x3 Cube,9967,97.12531670239719
2013,global,10262,3x3x3 Blindfolded,1535,14.958097836679011
2013,global,10262,3x3x3 Fewest Moves,1106,10.77762619372442
2013,global,10262,3x3x3 One-Handed,3830,37.32215942311441
2013,global,10262,4x4x4 Blindfolded,238,2.3192360163710775
2013,global,10262,4x4x4 Cube,4169,40.62560904307153
2013,global,10262,5x5x5 Blindfolded,148,1.4422139933736113
2013,global,10262,5x5x5 Cube,2563,24.97563827713896
2013,global,10262,Clock,754,7.347495614889884
2013,global,10262,Magic,0,0
2013,global,10262,Master Magic,0,0
2013,global,10262,Megaminx,1526,14.870395634379264
2013,global,10262,Pyraminx,3271,31.874878191385697
2013,global,10262,Square-1,763,7.435197817189632
2013,global,10262,2x2x2 Cube,6021,58.672773338530504
2013,global,10262,3x3x3 With Feet,431,4.199961021243422
2013,global,10262,6x6x6 Cube,1002,9.764178522705127
2013,global,10262,7x7x7 Cube,938,9.140518417462483
2013,global,10262,Skewb,0,0
2013,malaysia,45,3x3x3 Cube,42,93.33333333333333
2013,malaysia,45,3x3x3 Blindfolded,14,31.11111111111111
2013,malaysia,45,3x3x3 Fewest Moves,14,31.11111111111111
2013,malaysia,45,3x3x3 One-Handed,29,64.44444444444444
2013,malaysia,45,4x4x4 Blindfolded,5,11.11111111111111
2013,malaysia,45,4x4x4 Cube,28,62.22222222222222
2013,malaysia,45,5x5x5 Blindfolded,6,13.333333333333334
2013,malaysia,45,5x5x5 Cube,21,46.666666666666664
2013,malaysia,45,Clock,11,24.444444444444443
2013,malaysia,45,Magic,0,0
2013,malaysia,45,Master Magic,0,0
2013,malaysia,45,Megaminx,12,26.666666666666668
