eventId,eventName,countryName,count,rankType
444,4x4x4 Cube,Norway,2,Average
444,4x4x4 Cube,Peru,1,Average
444,4x4x4 Cube,Philippines,2,Average
444,4x4x4 Cube,Philippines,1,Single
444,4x4x4 Cube,Poland,2,Average
444,4x4x4 Cube,Poland,2,Single
444,4x4x4 Cube,Republic of Korea,3,Average
444,4x4x4 Cube,Republic of Korea,5,Single
444,4x4x4 Cube,Romania,1,Average
444,4x4x4 Cube,Romania,1,Single
444,4x4x4 Cube,Russia,1,Average
444,4x4x4 Cube,Russia,1,Single
444,4x4x4 Cube,Singapore,3,Average
444,4x4x4 Cube,Singapore,4,Single
444,4x4x4 Cube,Slovakia,1,Average
444,4x4x4 Cube,Slovakia,1,Single
444,4x4x4 Cube,Spain,1,Average
444,4x4x4 Cube,Spain,1,Single
444,4x4x4 Cube,Sweden,2,Average
444,4x4x4 Cube,Switzerland,1,Average
444,4x4x4 Cube,Switzerland,2,Single
444,4x4x4 Cube,Thailand,3,Average
444,4x4x4 Cube,Thailand,2,Single
444,4x4x4 Cube,United Kingdom,1,Average
444,4x4x4 Cube,United Kingdom,2,Single
444,4x4x4 Cube,United States,26,Average
444,4x4x4 Cube,United States,23,Single
444,4x4x4 Cube,Vietnam,2,Average
444,4x4x4 Cube,Vietnam,1,Single
444bf,4x4x4 Blindfolded,Argentina,3,Average
444bf,4x4x4 Blindfolded,Argentina,2,Single
444bf,4x4x4 Blindfolded,Australia,4,Average
444bf,4x4x4 Blindfolded,Australia,5,Single
444bf,4x4x4 Blindfolded,Austria,3,Average
444bf,4x4x4 Blindfolded,Austria,3,Single
444bf,4x4x4 Blindfolded,Brazil,3,Average
444bf,4x4x4 Blindfolded,Brazil,2,Single
444bf,4x4x4 Blindfolded,Canada,1,Average
444bf,4x4x4 Blindfolded,Canada,2,Single
444bf,4x4x4 Blindfolded,China,7,Average
444bf,4x4x4 Blindfolded,China,9,Single
444bf,4x4x4 Blindfolded,Chinese Taipei,1,Average
444bf,4x4x4 Blindfolded,Chinese Taipei,1,Single
444bf,4x4x4 Blindfolded,Colombia,1,Average
444bf,4x4x4 Blindfolded,Colombia,1,Single
444bf,4x4x4 Blindfolded,Denmark,3,Average
444bf,4x4x4 Blindfolded,Denmark,2,Single
444bf,4x4x4 Blindfolded,Finland,1,Average
444bf,4x4x4 Blindfolded,France,3,Average
444bf,4x4x4 Blindfolded,France,4,Single
444bf,4x4x4 Blindfolded,Germany,6,Average
444bf,4x4x4 Blindfolded,Germany,4,Single
444bf,4x4x4 Blindfolded,"Hong Kong, China",1,Average
444bf,4x4x4 Blindfolded,"Hong Kong, China",2,Single
444bf,4x4x4 Blindfolded,Hungary,3,Average
444bf,4x4x4 Blindfolded,Hungary,3,Single
444bf,4x4x4 Blindfolded,India,5,Average
444bf,4x4x4 Blindfolded,India,4,Single
444bf,4x4x4 Blindfolded,Indonesia,1,Average
444bf,4x4x4 Blindfolded,Indonesia,1,Single
444bf,4x4x4 Blindfolded,Italy,2,Average
